Manager,Date,Agent Group,Agent Name,Interaction Type,Accepted,Rejected,Short,Engage Time,Hold Time,Wrap Time,Handle Time,Handle Time Minutes,Avg Engage Time,Avg Hold Time,Avg Wrap Time,Avg Handle Time,Engage Time %
Manager5,7/10/2019,Queue3,Agent45,Outbound,6,0,0,01:03:20,00:24:40,00:06:02,01:46:35,106.58,00:10:33,00:04:56,00:01:00,00:17:46,2.79%
Manager5,7/10/2019,Queue3,Agent46,Inbound,220,0,1,11:50:16,06:02:13,03:24:13,21:32:35,1292.58,00:03:14,00:01:50,00:00:57,00:05:49,28.60%
Manager5,7/10/2019,Queue3,Agent46,Internal,5,0,0,00:11:56,00:00:00,00:04:37,00:16:33,16.55,00:02:23,00:00:00,00:00:55,00:03:19,0.48%
Manager5,7/10/2019,Queue3,Agent46,Outbound,19,0,0,01:14:54,00:17:17,00:14:07,01:57:34,117.57,00:03:57,00:04:19,00:00:56,00:05:53,3.02%
Manager5,7/10/2019,Queue3,Agent47,Inbound,207,0,0,17:27:49,07:32:22,03:20:09,28:34:23,1714.38,00:05:04,00:02:54,00:00:59,00:08:08,39.29%
Manager5,7/10/2019,Queue3,Agent47,Internal,9,0,0,00:33:50,00:01:46,00:09:02,00:47:55,47.92,00:03:46,00:01:46,00:01:00,00:04:48,1.27%
Manager5,7/10/2019,Queue3,Agent47,Outbound,27,0,1,02:02:53,00:50:28,00:24:19,03:40:12,220.20,00:04:33,00:03:36,00:00:56,00:07:52,4.61%
Manager5,7/10/2019,Queue3,Agent49,Inbound,142,0,0,19:28:52,04:42:34,02:00:23,26:27:31,1587.52,00:08:14,00:02:17,00:00:51,00:11:01,40.15%
Manager5,7/10/2019,Queue3,Agent49,Internal,7,0,0,00:21:31,00:14:26,00:05:08,00:41:05,41.08,00:03:04,00:03:37,00:00:51,00:05:52,0.74%
Manager5,7/10/2019,Queue3,Agent49,Outbound,13,0,0,01:56:17,00:37:34,00:11:12,03:04:37,184.62,00:08:57,00:03:45,00:00:52,00:13:11,3.99%
Manager1,7/11/2019,Queue1,Agent1,Inbound,129,0,1,12:22:26,02:37:45,01:19:04,16:35:06,995,00:05:45,00:01:54,00:00:37,00:07:29,0
Manager1,7/11/2019,Queue1,Agent1,Internal,3,0,0,00:10:17,00:03:06,00:01:20,00:14:43,15,00:03:26,00:03:06,00:00:27,00:04:54,0
Manager1,7/11/2019,Queue1,Agent1,Outbound,18,0,0,02:03:42,00:37:19,00:09:30,03:13:04,193,00:06:52,00:03:24,00:00:34,00:10:10,0
Manager1,7/11/2019,Queue1,Agent2,Inbound,157,1,1,12:53:49,07:38:47,02:36:18,23:40:14,1420,00:04:56,00:03:19,00:01:02,00:08:53,0
Manager1,7/11/2019,Queue1,Agent2,Internal,4,0,1,00:15:55,00:04:21,00:04:03,00:24:19,24,00:03:59,00:04:21,00:01:01,00:06:05,0
Manager1,7/11/2019,Queue1,Agent2,Outbound,7,0,0,00:54:08,00:11:06,00:07:06,01:22:07,82,00:07:44,00:03:42,00:01:01,00:10:16,0
Manager1,7/11/2019,Queue1,Agent3,Inbound,87,0,0,06:03:41,03:50:44,01:22:45,11:56:32,717,00:04:11,00:03:24,00:00:58,00:07:58,0
Manager1,7/11/2019,Queue1,Agent3,Outbound,2,0,0,00:06:35,00:01:49,00:02:00,00:10:24,10,00:03:18,00:01:49,00:01:00,00:05:12,0
Manager1,7/11/2019,Queue1,Agent5,Inbound,101,2,1,07:47:27,05:19:36,01:34:18,14:51:49,892,00:04:38,00:03:33,00:00:57,00:08:35,0
Manager1,7/11/2019,Queue1,Agent5,Internal,2,0,0,00:03:11,00:00:00,00:01:59,00:08:55,9,00:01:36,00:00:00,00:01:00,00:02:58,0
Manager1,7/11/2019,Queue1,Agent5,Outbound,6,0,0,00:20:08,00:22:15,00:04:48,01:08:43,69,00:03:21,00:03:43,00:00:58,00:09:49,0
Manager1,7/11/2019,Queue1,Agent6,Inbound,107,0,1,14:09:56,04:33:46,01:22:23,20:25:05,1225,00:07:57,00:02:49,00:00:48,00:11:14,0
Manager1,7/11/2019,Queue1,Agent6,Internal,2,0,0,00:05:49,00:00:00,00:02:01,00:07:50,8,00:02:55,00:00:00,00:01:01,00:03:55,0
Manager1,7/11/2019,Queue1,Agent6,Outbound,14,0,0,01:25:02,00:14:05,00:09:48,01:52:35,113,00:06:04,00:02:21,00:00:42,00:08:03,0
Manager1,7/11/2019,Queue1,Agent7,Inbound,87,0,0,12:24:56,03:09:55,01:20:27,17:06:20,1026,00:08:34,00:03:07,00:00:55,00:11:32,0
Manager1,7/11/2019,Queue1,Agent7,Internal,2,0,0,00:13:02,00:04:26,00:01:58,00:19:26,19,00:06:31,00:04:26,00:00:59,00:09:43,0
Manager1,7/11/2019,Queue1,Agent7,Outbound,5,0,0,00:56:24,00:09:13,00:05:03,01:15:12,75,00:11:17,00:04:37,00:01:01,00:15:02,0
Manager1,7/11/2019,Queue1,Agent8,Inbound,77,1,0,14:44:25,06:11:06,01:10:49,22:17:31,1338,00:11:29,00:05:09,00:00:57,00:17:22,0
Manager1,7/11/2019,Queue1,Agent8,Outbound,7,0,0,01:30:19,00:22:18,00:06:03,02:03:51,124,00:12:54,00:05:35,00:01:01,00:15:29,0
Manager2,7/11/2019,Queue1,Agent12,Inbound,133,0,0,14:45:41,05:28:54,02:09:45,22:56:01,1376,00:06:40,00:02:38,00:01:00,00:10:07,0
Manager2,7/11/2019,Queue1,Agent12,Internal,3,0,0,00:10:37,00:02:30,00:03:00,00:16:07,16,00:03:32,00:02:30,00:01:00,00:05:22,0
Manager2,7/11/2019,Queue1,Agent12,Outbound,10,0,0,02:11:55,00:26:22,00:09:50,03:01:05,181,00:13:12,00:03:18,00:00:59,00:16:28,0
Manager2,7/11/2019,Queue1,Agent13,Inbound,155,0,0,10:59:51,06:29:24,02:19:57,20:00:07,1200,00:04:15,00:02:48,00:00:55,00:07:36,0
Manager2,7/11/2019,Queue1,Agent13,Internal,4,0,0,00:11:26,00:03:00,00:00:49,00:26:18,26,00:02:52,00:03:00,00:00:16,00:06:35,0
Manager2,7/11/2019,Queue1,Agent13,Outbound,3,0,0,00:13:30,00:04:57,00:03:02,00:33:15,33,00:04:30,00:02:29,00:01:01,00:05:33,0
Manager2,7/11/2019,Queue1,Agent15,Inbound,112,0,0,08:27:24,07:21:41,01:41:42,17:52:18,1072,00:04:32,00:04:08,00:00:55,00:09:19,0
Manager2,7/11/2019,Queue1,Agent15,Internal,2,0,0,00:02:01,00:00:33,00:02:02,00:12:03,12,00:01:01,00:00:33,00:01:01,00:04:01,0
Manager2,7/11/2019,Queue1,Agent15,Outbound,6,0,0,00:17:54,00:17:05,00:03:01,00:45:24,45,00:02:59,00:05:42,00:01:00,00:05:41,0
Manager2,7/11/2019,Queue1,Agent16,Inbound,109,0,0,08:08:11,06:57:35,01:45:50,17:02:42,1023,00:04:29,00:04:18,00:00:59,00:09:18,0
Manager2,7/11/2019,Queue1,Agent16,Internal,1,0,0,00:07:23,00:08:14,00:01:00,00:16:37,17,00:07:23,00:08:14,00:01:00,00:16:37,0
Manager2,7/11/2019,Queue1,Agent16,Outbound,8,0,0,00:48:54,00:40:14,00:08:05,01:42:34,103,00:06:07,00:05:02,00:01:01,00:12:49,0
Manager2,7/11/2019,Queue1,Agent18,Inbound,127,0,0,09:07:50,07:11:12,02:03:20,18:33:45,1114,00:04:19,00:03:53,00:00:59,00:08:42,0
Manager2,7/11/2019,Queue1,Agent18,Internal,2,0,0,00:08:23,00:08:20,00:02:00,00:18:43,19,00:04:12,00:08:20,00:01:00,00:09:22,0
Manager2,7/11/2019,Queue1,Agent18,Outbound,7,0,0,00:22:59,00:13:42,00:06:54,00:52:12,52,00:03:17,00:02:17,00:00:59,00:06:32,0
Manager2,7/11/2019,Queue1,Agent19,Inbound,131,1,3,11:51:05,02:52:45,01:54:37,16:51:20,1011,00:05:26,00:02:47,00:00:52,00:07:40,0
Manager2,7/11/2019,Queue1,Agent19,Internal,3,0,0,00:02:42,00:00:00,00:03:02,00:05:44,6,00:00:54,00:00:00,00:01:01,00:01:55,0
Manager2,7/11/2019,Queue1,Agent19,Outbound,8,0,0,00:47:56,00:15:10,00:07:05,01:17:06,77,00:06:00,00:02:32,00:00:53,00:08:34,0
Manager2,7/11/2019,Queue1,Agent20,Inbound,68,0,0,08:10:07,02:12:11,00:58:04,11:28:06,688,00:07:12,00:02:14,00:00:54,00:10:07,0
Manager2,7/11/2019,Queue1,Agent20,Internal,4,0,0,00:13:37,00:02:13,00:03:51,00:19:41,20,00:03:24,00:02:13,00:00:58,00:04:55,0
Manager2,7/11/2019,Queue1,Agent20,Outbound,14,0,0,02:43:35,00:15:38,00:09:55,03:12:56,193,00:11:41,00:03:55,00:00:50,00:12:52,0
Manager3,7/11/2019,Queue2,Agent21,Inbound,105,0,0,07:35:45,06:29:18,01:35:51,15:46:46,947,00:04:20,00:03:56,00:00:55,00:09:01,0
Manager3,7/11/2019,Queue2,Agent21,Internal,1,0,0,00:01:45,00:00:00,00:01:01,00:02:46,3,00:01:45,00:00:00,00:01:01,00:02:46,0
Manager3,7/11/2019,Queue2,Agent21,Outbound,6,0,0,00:21:42,00:25:54,00:05:03,01:01:12,61,00:03:37,00:05:11,00:00:51,00:07:39,0
Manager3,7/11/2019,Queue2,Agent22,Inbound,155,0,0,14:52:23,09:26:08,02:34:40,27:13:37,1634,00:05:45,00:04:17,00:01:00,00:10:24,0
Manager3,7/11/2019,Queue2,Agent22,Internal,4,0,0,00:22:11,00:00:00,00:04:02,00:26:13,26,00:05:33,00:00:00,00:01:01,00:06:33,0
Manager3,7/11/2019,Queue2,Agent22,Outbound,8,0,0,00:48:33,00:48:08,00:06:26,01:55:54,116,00:06:04,00:06:01,00:00:55,00:12:53,0
Manager3,7/11/2019,Queue2,Agent23,Inbound,126,0,0,10:49:03,03:52:09,01:57:45,16:59:26,1019,00:05:09,00:02:38,00:00:58,00:07:58,0
Manager3,7/11/2019,Queue2,Agent23,Internal,9,0,2,00:12:39,00:00:00,00:08:47,00:21:26,21,00:01:24,00:00:00,00:00:59,00:02:23,0
Manager3,7/11/2019,Queue2,Agent23,Outbound,14,0,0,02:15:18,00:31:47,00:12:33,03:23:28,203,00:09:40,00:03:11,00:00:58,00:14:32,0
Manager3,7/11/2019,Queue2,Agent25,Inbound,164,0,1,16:11:48,07:26:52,02:40:21,26:49:19,1609,00:05:56,00:02:52,00:01:00,00:09:35,0
Manager3,7/11/2019,Queue2,Agent25,Internal,5,0,0,00:18:17,00:00:59,00:05:03,01:10:24,70,00:03:39,00:00:59,00:01:01,00:11:44,0
Manager3,7/11/2019,Queue2,Agent25,Outbound,7,0,0,01:04:00,00:20:39,00:07:00,01:43:34,104,00:09:09,00:02:57,00:01:00,00:14:48,0
Manager3,7/11/2019,Queue2,Agent26,Inbound,125,0,0,06:52:24,04:54:33,01:50:26,14:09:55,850,00:03:18,00:02:32,00:00:54,00:06:23,0
Manager3,7/11/2019,Queue2,Agent26,Internal,4,0,0,00:08:24,00:00:00,00:03:09,00:15:47,16,00:02:06,00:00:00,00:00:47,00:03:09,0
Manager3,7/11/2019,Queue2,Agent26,Outbound,8,0,1,00:11:20,00:13:22,00:05:35,00:42:27,42,00:01:25,00:04:27,00:00:42,00:03:32,0
Manager3,7/11/2019,Queue2,Agent27,Inbound,80,0,0,10:53:45,07:04:51,00:57:27,19:10:46,1151,00:08:10,00:05:40,00:00:43,00:14:12,0
Manager3,7/11/2019,Queue2,Agent27,Outbound,5,0,0,00:49:02,00:21:16,00:04:23,01:20:46,81,00:09:48,00:05:19,00:00:53,00:16:09,0
Manager3,7/11/2019,Queue2,Agent28,Inbound,117,1,0,12:09:39,09:02:35,01:46:43,23:12:25,1392,00:06:14,00:04:48,00:00:57,00:11:48,0
Manager3,7/11/2019,Queue2,Agent28,Internal,6,0,0,00:23:24,00:04:44,00:06:02,00:34:10,34,00:03:54,00:02:22,00:01:00,00:05:42,0
Manager3,7/11/2019,Queue2,Agent28,Outbound,7,0,0,01:16:54,00:42:46,00:06:57,02:18:22,138,00:10:59,00:06:07,00:01:00,00:17:18,0
Manager3,7/11/2019,Queue2,Agent29,Inbound,101,0,0,08:43:45,08:07:01,01:40:19,18:38:09,1118,00:05:11,00:05:32,00:01:00,00:10:58,0
Manager3,7/11/2019,Queue2,Agent29,Internal,4,0,0,00:09:25,00:03:44,00:04:02,00:17:11,17,00:02:21,00:03:44,00:01:01,00:04:18,0
Manager3,7/11/2019,Queue2,Agent29,Outbound,2,0,0,00:14:07,00:10:11,00:02:01,00:27:49,28,00:07:04,00:05:06,00:01:01,00:13:55,0
Manager3,7/11/2019,Queue2,Agent30,Inbound,99,0,0,09:49:13,05:48:57,01:26:40,17:18:50,1039,00:05:57,00:03:43,00:00:54,00:10:05,0
Manager3,7/11/2019,Queue2,Agent30,Internal,7,0,0,00:08:54,00:02:46,00:04:52,00:27:08,27,00:01:16,00:02:46,00:00:42,00:03:24,0
Manager3,7/11/2019,Queue2,Agent30,Outbound,6,0,1,00:19:22,00:27:08,00:04:58,00:51:30,52,00:03:14,00:09:03,00:00:50,00:08:35,0
Manager4,7/11/2019,Queue2,Agent34,Inbound,164,0,0,14:55:47,07:17:42,02:36:59,25:19:24,1519,00:05:28,00:04:15,00:01:00,00:09:03,0
Manager4,7/11/2019,Queue2,Agent34,Internal,3,0,0,00:05:07,00:00:00,00:02:00,00:07:07,7,00:01:42,00:00:00,00:01:00,00:02:22,0
Manager4,7/11/2019,Queue2,Agent34,Outbound,6,0,0,00:37:03,00:14:56,00:05:30,01:11:38,72,00:06:11,00:03:44,00:00:55,00:07:10,0
Manager4,7/11/2019,Queue2,Agent35,Inbound,117,0,0,16:00:37,03:29:39,01:45:34,21:26:41,1287,00:08:13,00:03:00,00:00:55,00:10:49,0
Manager4,7/11/2019,Queue2,Agent35,Internal,3,0,0,00:12:03,00:00:00,00:02:54,00:20:23,20,00:04:01,00:00:00,00:00:58,00:05:06,0
Manager4,7/11/2019,Queue2,Agent35,Outbound,5,0,0,00:38:10,00:03:19,00:03:36,00:56:22,56,00:07:38,00:03:19,00:00:54,00:08:03,0
Manager4,7/11/2019,Queue2,Agent36,Inbound,89,1,0,08:02:29,04:56:16,01:26:26,14:39:34,880,00:05:25,00:04:04,00:00:59,00:09:46,0
Manager4,7/11/2019,Queue2,Agent36,Outbound,6,0,0,01:35:35,00:03:14,00:05:23,01:46:42,107,00:15:56,00:01:37,00:00:54,00:17:47,0
Manager4,7/11/2019,Queue2,Agent38,Inbound,92,2,4,08:10:08,04:39:54,01:17:37,14:36:19,876,00:05:20,00:03:30,00:00:51,00:09:08,0
Manager4,7/11/2019,Queue2,Agent38,Internal,3,0,0,00:13:41,00:00:43,00:03:01,00:17:25,17,00:04:34,00:00:43,00:01:00,00:05:48,0
Manager4,7/11/2019,Queue2,Agent38,Outbound,8,0,0,00:39:32,00:24:42,00:07:42,01:20:09,80,00:04:57,00:04:07,00:00:58,00:08:54,0
Manager5,7/11/2019,Queue3,Agent42,Inbound,81,0,0,07:34:15,03:40:31,01:10:05,12:37:20,757,00:05:36,00:03:04,00:00:53,00:09:07,0
Manager5,7/11/2019,Queue3,Agent42,Internal,9,0,0,00:02:17,00:00:00,00:01:01,00:04:41,5,00:00:15,00:00:00,00:01:01,00:00:28,0
Manager5,7/11/2019,Queue3,Agent42,Outbound,13,0,0,01:44:58,00:26:11,00:12:33,02:28:50,149,00:08:04,00:02:37,00:00:58,00:10:38,0
Manager5,7/11/2019,Queue3,Agent43,Inbound,82,0,1,09:32:28,04:00:30,01:05:59,14:46:47,887,00:06:59,00:03:29,00:00:50,00:10:49,0
Manager5,7/11/2019,Queue3,Agent43,Internal,5,0,0,00:14:19,00:03:14,00:04:15,00:21:48,22,00:02:52,00:03:14,00:00:51,00:04:22,0
Manager5,7/11/2019,Queue3,Agent43,Outbound,11,0,1,02:16:04,00:25:10,00:06:48,02:53:13,173,00:12:22,00:03:36,00:00:45,00:15:45,0
Manager5,7/11/2019,Queue3,Agent44,Inbound,92,0,0,07:02:58,02:35:44,01:30:11,11:27:51,688,00:04:36,00:02:47,00:00:59,00:07:14,0
Manager5,7/11/2019,Queue3,Agent44,Internal,6,0,0,00:28:03,00:09:30,00:05:13,00:42:46,43,00:04:41,00:09:30,00:00:52,00:07:08,0
Manager5,7/11/2019,Queue3,Agent44,Outbound,34,0,0,01:14:54,00:10:12,00:33:09,02:06:26,126,00:02:12,00:02:02,00:00:59,00:03:43,0
Manager5,7/11/2019,Queue3,Agent45,Inbound,145,2,0,12:30:32,11:22:11,02:13:59,26:43:30,1604,00:05:11,00:05:03,00:00:56,00:10:59,0
Manager5,7/11/2019,Queue3,Agent45,Internal,2,0,0,00:26:51,00:00:00,00:01:45,00:44:26,44,00:13:26,00:00:00,00:00:53,00:14:49,0
Manager5,7/11/2019,Queue3,Agent45,Outbound,8,0,0,01:05:27,00:35:03,00:07:31,02:02:10,122,00:08:11,00:04:23,00:00:56,00:12:13,0
Manager5,7/11/2019,Queue3,Agent46,Inbound,74,0,0,04:28:37,02:48:02,01:08:38,08:27:05,507,00:03:38,00:02:20,00:00:56,00:06:46,0
Manager5,7/11/2019,Queue3,Agent46,Internal,2,0,0,00:02:37,00:03:26,00:02:02,00:08:05,8,00:01:19,00:01:43,00:01:01,00:04:03,0
Manager5,7/11/2019,Queue3,Agent46,Outbound,13,0,1,00:31:53,00:03:52,00:07:39,00:44:27,44,00:02:27,00:00:58,00:00:42,00:03:25,0
Manager5,7/11/2019,Queue3,Agent47,Inbound,180,0,0,16:09:05,06:05:43,02:53:01,25:27:40,1528,00:05:23,00:02:45,00:00:58,00:08:24,0
Manager5,7/11/2019,Queue3,Agent47,Outbound,7,0,0,00:46:38,00:11:40,00:06:59,01:17:19,77,00:06:40,00:01:57,00:01:00,00:08:35,0
Manager5,7/11/2019,Queue3,Agent49,Inbound,104,0,0,13:03:23,04:02:52,01:21:30,18:53:24,1133,00:07:32,00:02:37,00:00:49,00:10:42,0
Manager5,7/11/2019,Queue3,Agent49,Internal,2,0,0,00:15:53,00:00:00,00:02:00,00:17:53,18,00:07:57,00:00:00,00:01:00,00:08:57,0
Manager5,7/11/2019,Queue3,Agent49,Outbound,7,0,0,01:10:18,00:23:22,00:03:44,01:47:23,107,00:10:03,00:04:40,00:00:32,00:13:25,0
Manager1,7/15/2019,Queue1,Agent2,Inbound,186,0,0,15:57:49,09:33:48,02:58:55,28:56:51,1737,00:05:09,00:03:47,00:00:59,00:09:17,35.56%
Manager1,7/15/2019,Queue1,Agent2,Internal,5,0,0,00:18:50,00:00:45,00:04:03,00:23:38,24,00:03:46,00:00:45,00:01:01,00:04:44,0.70%
Manager1,7/15/2019,Queue1,Agent2,Outbound,16,0,0,01:40:08,00:46:00,00:14:13,03:11:21,191,00:06:16,00:04:11,00:00:57,00:09:07,3.72%
Manager1,7/15/2019,Queue1,Agent8,Inbound,29,0,0,08:05:06,02:32:11,00:28:07,11:10:10,670,00:16:44,00:05:38,00:00:58,00:23:07,44.72%
Manager1,7/15/2019,Queue1,Agent8,Internal,2,0,0,00:09:40,00:06:50,00:01:06,00:17:36,18,00:04:50,00:06:50,00:00:33,00:08:48,0.89%
Manager1,7/15/2019,Queue1,Agent8,Outbound,2,0,0,00:33:54,00:18:49,00:01:52,00:57:42,58,00:16:57,00:09:25,00:00:56,00:28:51,3.12%
Manager2,7/15/2019,Queue1,Agent12,Inbound,141,1,0,16:52:51,08:49:41,02:13:23,28:26:41,1707,00:07:11,00:03:59,00:00:59,00:11:51,37.87%
Manager2,7/15/2019,Queue1,Agent12,Internal,6,0,0,00:39:24,00:10:14,00:05:50,00:56:45,57,00:06:34,00:03:25,00:00:58,00:09:28,1.47%
Manager2,7/15/2019,Queue1,Agent12,Outbound,15,0,0,01:51:33,00:43:17,00:15:07,03:11:18,191,00:07:26,00:03:36,00:01:00,00:12:45,4.17%
Manager2,7/15/2019,Queue1,Agent13,Inbound,173,0,0,12:11:49,07:49:24,02:36:36,22:52:33,1373,00:04:14,00:03:17,00:00:56,00:07:53,28.69%
Manager2,7/15/2019,Queue1,Agent13,Internal,2,0,0,00:00:42,00:00:00,00:02:02,00:04:35,5,00:00:21,00:00:00,00:01:01,00:01:32,0.03%
Manager2,7/15/2019,Queue1,Agent13,Outbound,17,0,1,01:32:00,00:27:03,00:13:17,02:27:51,148,00:05:25,00:02:28,00:00:47,00:07:47,3.61%
Manager2,7/15/2019,Queue1,Agent16,Inbound,145,2,0,13:54:12,11:30:27,02:32:00,28:14:25,1694,00:05:45,00:05:42,00:01:04,00:11:32,32.07%
Manager2,7/15/2019,Queue1,Agent16,Internal,7,0,0,00:27:49,00:04:17,00:07:04,00:39:10,39,00:03:58,00:02:09,00:01:01,00:05:36,1.07%
Manager2,7/15/2019,Queue1,Agent16,Outbound,10,0,0,02:12:32,00:53:23,00:08:03,03:28:03,208,00:13:15,00:05:56,00:01:00,00:16:00,5.09%
Manager3,7/15/2019,Queue2,Agent29,Inbound,165,0,0,11:40:58,12:35:47,03:01:08,27:30:21,1650,00:04:15,00:05:13,00:01:08,00:09:57,27.39%
Manager3,7/15/2019,Queue2,Agent29,Internal,3,0,0,00:06:24,00:09:10,00:02:45,00:36:19,36,00:02:08,00:04:35,00:00:55,00:09:05,0.25%
Manager3,7/15/2019,Queue2,Agent29,Outbound,10,0,0,00:37:34,00:37:37,00:08:40,01:38:38,99,00:03:45,00:05:22,00:00:58,00:08:58,1.47%
Manager3,7/15/2019,Queue2,Agent30,Inbound,102,0,0,09:05:20,06:18:15,01:26:34,17:01:20,1021,00:05:21,00:03:56,00:00:53,00:09:55,18.27%
Manager3,7/15/2019,Queue2,Agent30,Internal,3,0,1,00:03:27,00:02:32,00:02:28,00:08:27,8,00:01:09,00:02:32,00:00:49,00:02:49,0.12%
Manager3,7/15/2019,Queue2,Agent30,Outbound,17,0,0,01:07:50,00:18:42,00:12:22,01:43:05,103,00:03:59,00:03:07,00:00:44,00:06:04,2.27%
Manager4,7/15/2019,Queue2,Agent35,Inbound,138,0,0,20:33:18,04:41:56,02:02:45,27:37:05,1657,00:08:56,00:03:26,00:00:56,00:12:00,45.90%
